history,history_label,task,task_label,metric,n,mean,sd,ci_low,ci_high
private,Private interaction memory,game,Game only,final_balance,10,66.03299999999999,2.611035820427509,64.16517749407424,67.90082250592573
private,Private interaction memory,game,Game only,mean_trust_ratio,10,0.82066,0.052220716408550194,0.783303549881485,0.8580164501185149
private,Private interaction memory,game,Game only,mean_return_ratio,10,0.41696284117155635,0.013854703581015097,0.4070517832844558,0.4268738990586569
private,Private interaction memory,game,Game only,return_over_sent,10,1.2495010280892953,0.04128745326189554,1.2199657632677274,1.2790362929108632
private,Private interaction memory,myth_game,Myth → Game,final_balance,10,67.21775,1.1114076722287323,66.42269684630274,68.01280315369725
private,Private interaction memory,myth_game,Myth → Game,mean_trust_ratio,10,0.844355,0.022228153444574645,0.828453936926055,0.860256063073945
private,Private interaction memory,myth_game,Myth → Game,mean_return_ratio,10,0.3833174189590818,0.028526675351355883,0.362910664741602,0.40372417317656156
private,Private interaction memory,myth_game,Myth → Game,return_over_sent,10,1.1488007074942206,0.08176877191679702,1.0903068518093544,1.2072945631790868
dossier,Current-partner dossier,game,Game only,final_balance,10,64.21875,1.5487590238280746,63.110834536592826,65.32666546340717
dossier,Current-partner dossier,game,Game only,mean_trust_ratio,10,0.784375,0.030975180476561514,0.7622166907318566,0.8065333092681435
dossier,Current-partner dossier,game,Game only,mean_return_ratio,10,0.3909168570732386,0.03742665112474704,0.3641434437231345,0.41769027042334267
dossier,Current-partner dossier,game,Game only,return_over_sent,10,1.1887312785313424,0.10426937099136743,1.1141414639096074,1.2633210931530774
dossier,Current-partner dossier,myth_game,Myth → Game,final_balance,10,65.90225000000001,1.3372813684237634,64.94561653784854,66.85888346215148
dossier,Current-partner dossier,myth_game,Myth → Game,mean_trust_ratio,10,0.818045,0.026745627368475234,0.7989123307569705,0.8371776692430295
dossier,Current-partner dossier,myth_game,Myth → Game,mean_return_ratio,10,0.3847556590722209,0.04137939714864296,0.35515462155630495,0.4143566965881369
dossier,Current-partner dossier,myth_game,Myth → Game,return_over_sent,10,1.1493927078772734,0.12874465504451119,1.0572943297820958,1.241491085972451
