group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,std_a,std_b,U_statistic,p_value,effect_size_r,p_corrected,significant
no_noise/game,no_noise/game_myth,9,48,27.77777777777778,31.9375,25.0,30.0,5.1806858786110075,7.638734215605794,103.5,0.013129294837686,0.5208333333333333,0.236327307078348,False
no_noise/game,no_noise/myth_game,9,48,27.77777777777778,36.541666666666664,25.0,32.0,5.1806858786110075,11.998191414635048,83.0,0.003549491623580532,0.6157407407407407,0.06389084922444957,False
no_noise/game_myth,no_noise/myth_game,48,48,31.9375,36.541666666666664,30.0,32.0,7.638734215605794,11.998191414635048,909.5,0.07472870540679,0.2105034722222222,1.0,False
noise/game,noise/game_myth,30,15,29.674333333333333,31.241333333333333,28.0,30.0,6.195350774752162,4.649537420241095,147.5,0.05832285073058946,0.34444444444444444,1.0,False
noise/game,noise/myth_game,30,15,29.674333333333333,31.838,28.0,33.0,6.195350774752162,4.3248216918928195,138.0,0.03401100675609211,0.3866666666666667,0.6121981216096579,False
noise/game_myth,noise/myth_game,15,15,31.241333333333333,31.838,30.0,33.0,4.649537420241095,4.3248216918928195,104.5,0.7540881678430791,0.07111111111111112,1.0,False
noise_informed/game,noise_informed/game_myth,27,15,32.175555555555555,34.48466666666666,28.779999999999998,33.53,6.384201758933173,5.649926095878501,141.5,0.10547998502675543,0.3012345679012346,1.0,False
noise_informed/game,noise_informed/myth_game,27,15,32.175555555555555,35.90466666666667,28.779999999999998,34.0,6.384201758933173,6.223452275242594,120.5,0.03069381529960584,0.4049382716049382,0.5524886753929051,False
noise_informed/game_myth,noise_informed/myth_game,15,15,34.48466666666666,35.90466666666667,33.53,34.0,5.649926095878501,6.223452275242594,93.0,0.4299288372280067,0.17333333333333334,1.0,False
no_noise/game,noise/game,9,30,27.77777777777778,29.674333333333333,25.0,28.0,5.1806858786110075,6.195350774752162,92.0,0.14056085153855483,0.31851851851851853,1.0,False
no_noise/game,noise_informed/game,9,27,27.77777777777778,32.175555555555555,25.0,28.779999999999998,5.1806858786110075,6.384201758933173,46.0,0.004838943700165146,0.6213991769547325,0.08710098660297264,False
noise/game,noise_informed/game,30,27,29.674333333333333,32.175555555555555,28.0,28.779999999999998,6.195350774752162,6.384201758933173,263.0,0.019845182178854583,0.3506172839506173,0.3572132792193825,False
no_noise/game_myth,noise/game_myth,48,15,31.9375,31.241333333333333,30.0,30.0,7.638734215605794,4.649537420241095,341.0,0.7633768516168808,0.05277777777777781,1.0,False
no_noise/game_myth,noise_informed/game_myth,48,15,31.9375,34.48466666666666,30.0,33.53,7.638734215605794,5.649926095878501,231.5,0.03758414764661771,0.3569444444444444,0.6765146576391188,False
noise/game_myth,noise_informed/game_myth,15,15,31.241333333333333,34.48466666666666,30.0,33.53,4.649537420241095,5.649926095878501,69.5,0.07637682105304079,0.38222222222222224,1.0,False
no_noise/myth_game,noise/myth_game,48,15,36.541666666666664,31.838,32.0,33.0,11.998191414635048,4.3248216918928195,407.5,0.446809358837049,-0.13194444444444442,1.0,False
no_noise/myth_game,noise_informed/myth_game,48,15,36.541666666666664,35.90466666666667,32.0,34.0,11.998191414635048,6.223452275242594,305.5,0.38251720117401955,0.1513888888888889,1.0,False
noise/myth_game,noise_informed/myth_game,15,15,31.838,35.90466666666667,33.0,34.0,4.3248216918928195,6.223452275242594,70.5,0.08463356858047576,0.3733333333333333,1.0,False
