metric,metric_label,contrast_type,contrast,primary,n_quadruplets,estimate,ci_low,ci_high,t_statistic,p_value,cohens_dz,same_direction,zero_differences,p_holm
standard_return_ratio,Ordinary receiver return ratio,availability_defectors25,Available − unavailable | 25% defectors,True,3,0.002619528619528614,-0.0016154304811981045,0.006854487720255332,2.6614004284947805,0.11693165623519265,1.5365602538128469,3,0,0.2338633124703853
standard_return_ratio,Ordinary receiver return ratio,availability_control,Available − unavailable | 0% defectors,False,3,0.0035638888888888665,-0.004169183588359146,0.011296961366136879,1.9829345064626167,0.18584568653641914,1.1448477710915894,3,0,
standard_return_ratio,Ordinary receiver return ratio,availability_main,Equal-weight availability main effect,False,3,0.0030917087542087405,-0.0018952150717466754,0.008078632580164157,2.667485924185565,0.11648823379541062,1.5400737163880738,3,0,
standard_return_ratio,Ordinary receiver return ratio,interaction,Availability × defector difference-in-differences,True,3,-0.0009443602693602523,-0.008427203316148707,0.006538482777428203,-0.5430094237408031,0.6415493757448206,-0.3135066369692562,2,0,0.6415493757448206
standard_return_ratio,Ordinary receiver return ratio,defector_effect_off,25% − 0% defectors | unavailable,False,3,0.0016540283790283383,-0.00248763309596963,0.005795689854026307,1.7183224082853505,0.22787675286953868,0.9920739049781131,3,0,
standard_return_ratio,Ordinary receiver return ratio,defector_effect_on,25% − 0% defectors | available,False,3,0.000709668109668086,-0.010905620888535592,0.012324957107871763,0.26288243277579343,0.8172446615379073,0.15177524332832804,2,0,
standard_send_ratio,Ordinary-agent proportion sent,availability_defectors25,Available − unavailable | 25% defectors,False,3,0.0,0.0,0.0,0.0,1.0,0.0,3,3,
standard_send_ratio,Ordinary-agent proportion sent,availability_control,Available − unavailable | 0% defectors,False,3,0.0,0.0,0.0,0.0,1.0,0.0,3,3,
standard_send_ratio,Ordinary-agent proportion sent,availability_main,Equal-weight availability main effect,False,3,0.0,0.0,0.0,0.0,1.0,0.0,3,3,
standard_send_ratio,Ordinary-agent proportion sent,interaction,Availability × defector difference-in-differences,False,3,0.0,0.0,0.0,0.0,1.0,0.0,3,3,
standard_send_ratio,Ordinary-agent proportion sent,defector_effect_off,25% − 0% defectors | unavailable,False,3,0.0,0.0,0.0,0.0,1.0,0.0,3,3,
standard_send_ratio,Ordinary-agent proportion sent,defector_effect_on,25% − 0% defectors | available,False,3,0.0,0.0,0.0,0.0,1.0,0.0,3,3,
myth_coop_density,Ordinary myth cooperation density,availability_defectors25,Available − unavailable | 25% defectors,False,3,0.5696400063777904,0.0867716612423457,1.0525083515132352,5.075841382184686,0.03669075562801667,2.930538388368171,3,0,
myth_coop_density,Ordinary myth cooperation density,availability_control,Available − unavailable | 0% defectors,False,3,0.22305957569949234,-0.3086167311851158,0.7547358825841004,1.8051357185577614,0.21281229410727026,1.0421955930331321,3,0,
myth_coop_density,Ordinary myth cooperation density,availability_main,Equal-weight availability main effect,False,3,0.3963497910386414,0.32411443218354175,0.468585149893741,23.60832059750351,0.0017893813874089387,13.630270252083639,3,0,
myth_coop_density,Ordinary myth cooperation density,interaction,Availability × defector difference-in-differences,False,3,0.3465804306782981,-0.6588106771980835,1.3519715385546796,1.4832190422561378,0.2762579349717848,0.85633691331376,2,0,
myth_coop_density,Ordinary myth cooperation density,defector_effect_off,25% − 0% defectors | unavailable,False,3,-0.07297261402465798,-0.7289272141202919,0.5829819860709761,-0.47865479848831305,0.6794050873876212,-0.2763514767561336,2,0,
myth_coop_density,Ordinary myth cooperation density,defector_effect_on,25% − 0% defectors | available,False,3,0.27360781665364015,-0.12463405020751578,0.671849683514796,2.9560915542850803,0.09791693584568509,1.7067002546156702,3,0,
myth_threat_density,Ordinary myth threat density,availability_defectors25,Available − unavailable | 25% defectors,False,3,0.08062098709463651,0.0014035615077045704,0.15983841268156845,4.378886433425813,0.04839744683704318,2.528151261089194,3,0,
myth_threat_density,Ordinary myth threat density,availability_control,Available − unavailable | 0% defectors,False,3,0.023749208275111428,-0.03549795456074934,0.08299637111097219,1.724717115925435,0.22672023475916317,0.9957658911555048,2,0,
myth_threat_density,Ordinary myth threat density,availability_main,Equal-weight availability main effect,False,3,0.05218509768487398,0.011961464805276587,0.09240873056447137,5.582150018010264,0.03062541062923239,3.2228558155551004,3,0,
myth_threat_density,Ordinary myth threat density,interaction,Availability × defector difference-in-differences,False,3,0.0568717788195251,-0.057581229324908084,0.17132478696395828,2.1379911139749863,0.1659540768487892,1.2343697451784863,3,0,
myth_threat_density,Ordinary myth threat density,defector_effect_off,25% − 0% defectors | unavailable,False,3,0.011197827038881942,-0.139791090666642,0.1621867447444059,0.31909865841596113,0.7798965704028041,0.18423169633450362,2,0,
myth_threat_density,Ordinary myth threat density,defector_effect_on,25% − 0% defectors | available,False,3,0.06806960585840703,-0.010504025188735555,0.14664323690554962,3.7274575649977733,0.0650316175095537,2.1520486285443714,3,0,
myth_half_rule,Ordinary myth explicit half-rule,availability_defectors25,Available − unavailable | 25% defectors,False,3,0.17222222222222225,-0.01447106715360083,0.35891551159804536,3.9691432779197777,0.058007455532715774,2.2915859399591776,3,0,
myth_half_rule,Ordinary myth explicit half-rule,availability_control,Available − unavailable | 0% defectors,False,3,0.08333333333333333,-0.1063958183441535,0.27306248501082014,1.8898223650461359,0.19935923097456432,1.0910894511799616,2,1,
myth_half_rule,Ordinary myth explicit half-rule,availability_main,Equal-weight availability main effect,False,3,0.1277777777777778,0.11582596463973303,0.13972959091582254,46.00000000000032,0.0004722550440469239,26.55811238272297,3,0,
myth_half_rule,Ordinary myth explicit half-rule,interaction,Availability × defector difference-in-differences,False,3,0.0888888888888889,-0.28678608664089034,0.46456386441866815,1.0180556207612448,0.4157626053278227,0.5877746866965163,2,0,
myth_half_rule,Ordinary myth explicit half-rule,defector_effect_off,25% − 0% defectors | unavailable,False,3,-0.06805555555555558,-0.29608161716337655,0.15997050605226537,-1.2841489249843507,0.3277571804532622,-0.7414037275192836,2,0,
myth_half_rule,Ordinary myth explicit half-rule,defector_effect_on,25% − 0% defectors | available,False,3,0.020833333333333332,-0.1284447649153101,0.17011143158197678,0.6004805767690765,0.6091682064685238,0.3466876226407681,2,0,
myth_punishment_density,Ordinary myth punishment density,availability_defectors25,Available − unavailable | 25% defectors,False,3,0.026557576919288155,0.0261435343575559,0.02697161948102041,275.9813637221756,1.3129008651557028e-05,159.33791463631812,3,0,
myth_punishment_density,Ordinary myth punishment density,availability_control,Available − unavailable | 0% defectors,False,3,0.03272085425036087,-0.04261500842404634,0.10805671692476809,1.868784239808436,0.20259329860724515,1.0789430839107306,2,1,
myth_punishment_density,Ordinary myth punishment density,availability_main,Equal-weight availability main effect,False,3,0.029639215584824515,-0.007870429964320694,0.06714886113396973,3.399852224010253,0.07669266006538031,1.9629055967372675,3,0,
myth_punishment_density,Ordinary myth punishment density,interaction,Availability × defector difference-in-differences,False,3,-0.006163277331072715,-0.08181665290275558,0.06949009824061014,-0.35052556256776274,0.7594207413185656,-0.20237602790634282,2,0,
myth_punishment_density,Ordinary myth punishment density,defector_effect_off,25% − 0% defectors | unavailable,False,3,-0.002204585537918871,-0.011690151520494142,0.0072809804446564,-1.0,0.42264973081037427,-0.5773502691896257,1,2,
myth_punishment_density,Ordinary myth punishment density,defector_effect_on,25% − 0% defectors | available,False,3,-0.008367862868991586,-0.08606058441156374,0.06932485867358056,-0.4634154564306393,0.6886077649240961,-0.2675530385168629,2,0,
myth_punishment_presence,Ordinary myth punishment presence,availability_defectors25,Available − unavailable | 25% defectors,False,3,0.05000000000000001,0.05000000000000001,0.05000000000000001,inf,0.0,inf,3,0,
myth_punishment_presence,Ordinary myth punishment presence,availability_control,Available − unavailable | 0% defectors,False,3,0.0625,-0.0797968637581151,0.2047968637581151,1.8898223650461359,0.19935923097456432,1.0910894511799618,2,1,
myth_punishment_presence,Ordinary myth punishment presence,availability_main,Equal-weight availability main effect,False,3,0.05625,-0.014898431879057546,0.12739843187905756,3.401680257083045,0.07661948312336131,1.9639610121239313,3,0,
myth_punishment_presence,Ordinary myth punishment presence,interaction,Availability × defector difference-in-differences,False,3,-0.012499999999999997,-0.15479686375811508,0.1297968637581151,-0.3779644730092271,0.741801110252839,-0.2182178902359923,2,0,
myth_punishment_presence,Ordinary myth punishment presence,defector_effect_off,25% − 0% defectors | unavailable,False,3,-0.004166666666666667,-0.022094386373733926,0.013761053040400595,-0.9999999999999998,0.42264973081037427,-0.5773502691896257,1,2,
myth_punishment_presence,Ordinary myth punishment presence,defector_effect_on,25% − 0% defectors | available,False,3,-0.016666666666666663,-0.163411376864262,0.13007804353092867,-0.4886777774252208,0.6734013676289097,-0.28213824634343926,2,0,
